ID RA Dec RAHost DecHost zHost NormSep TDR zSource zSN tpk e_tpk x1 e_x1 c e_c mB e_mB logM e_logM distcorr PIa_PSNID PIa_NN PIa_Fitprob PIa_Galsnid
psc020090 14:11:31.058 +53:34:46.47 14:11:30.863 +53:34:45.34 0.40977 1.272 10.77 MMT 0.409 55272.3 1.0 0.3937 0.9101 -0.0027 0.0471 22.3077 0.0566 11.32 0.306 0.03 1.0 1.0 1.0 1.0
psc020096 10:45:15.387 +58:11:33.76 10:45:15.284 +58:11:36.20 0.22551 6.974 7.56 MMT 0.23 55281.4 0.2 -0.6933 0.211 -0.064 0.0316 20.6647 0.0379 9.059 0.419 0.009 1.0 1.0 1.0 1.0
psc020132 10:00:21.197 +01:25:05.25 10:00:20.998 +01:25:03.29 0.14660 4.356 17.02 MMT 0.15 55276.8 0.0 -2.6877 0.4178 0.0862 0.0435 20.7399 0.0385 10.629 0.108 -0.0 1.0 1.0 1.0 1.0
psc020176 14:07:26.975 +53:20:34.49 14:07:27.024 +53:20:33.85 -999 -999 -999 -999 0.26 55270.0 0.1 0.8694 0.2895 -0.076 0.0264 20.9247 0.0297 8.795 0.47 0.011 1.0 1.0 1.0 1.0
psc030006 10:50:05.883 +58:46:38.70 10:50:06.010 +58:46:39.96 -999 -999 -999 -999 0.51 55288.5 0.8 0.4419 0.9535 -0.0829 0.0665 22.5203 0.1192 9.524 0.628 0.056 1.0 1.0 1.0 1.0
psc030066 10:00:44.014 +03:24:14.31 10:00:43.994 +03:24:15.37 0.22528 2.604 5.56 MMT 0.22 55300.4 0.6 1.3805 0.3574 -0.1224 0.0324 20.4095 0.0404 9.134 0.157 0.009 1.0 1.0 1.0 1.0
psc040137 14:17:50.504 +52:48:03.77 14:17:50.493 +52:48:03.97 -999 -999 -999 -999 0.447 55326.4 0.4 1.1088 0.5151 0.0369 0.0425 22.5329 0.0502 8.706 0.524 0.04 1.0 1.0 1.0 1.0
psc040150 10:48:23.471 +57:08:53.52 10:48:23.422 +57:08:47.05 -999 -999 -999 -999 0.381 55337.8 0.4 -0.2602 0.5191 -0.0374 0.0425 22.1985 0.0546 8.887 0.697 0.025 1.0 1.0 1.0 1.0
psc040166 14:16:28.708 +54:03:12.81 14:16:28.670 +54:03:12.71 -999 -999 -999 -999 0.443 55326.8 0.2 0.1608 0.4782 -0.1457 0.0428 22.508 0.0475 8.798 0.772 0.038 1.0 1.0 1.0 1.0
psc040198 10:45:09.372 +58:33:16.64 10:45:09.360 +58:33:16.75 0.24880 0.888 7.5 MMT 0.25 55337.5 0.2 0.0569 0.2596 -0.0135 0.03 21.1323 0.0373 9.541 0.408 0.01 1.0 1.0 1.0 1.0
psc040201 12:17:50.299 +47:26:48.34 12:17:50.572 +47:26:41.63 -999 -999 -999 -999 0.279 55323.3 0.4 0.3934 0.2091 -0.0708 0.0273 21.0674 0.0375 -999.0 -999.0 0.012 1.0 1.0 1.0 1.0
psc040780 16:14:28.673 +54:43:32.92 16:14:28.604 +54:43:33.54 0.23060 1.542 20.33 MMT 0.233 55358.9 0.3 -0.8409 0.4531 0.2892 0.0392 21.6656 0.0443 10.963 0.081 0.009 1.0 1.0 1.0 1.0
psc040782 16:08:18.408 +54:54:29.34 16:08:18.335 +54:54:29.55 0.33742 1.699 9.7 MMT 0.336 55352.5 0.5 -0.5763 0.4347 0.1638 0.0422 22.1595 0.0511 10.152 0.314 0.018 1.0 1.0 1.0 1.0
psc050003 16:08:52.639 +55:00:17.31 16:08:52.631 +55:00:17.28 0.42682 3.775 4.32 MMT 0.43 55355.8 0.7 1.0621 0.7309 0.0068 0.0431 22.4228 0.0574 8.371 54.403 0.034 1.0 1.0 1.0 1.0
psc050005 14:07:14.921 +53:59:51.40 14:07:14.987 +53:59:51.13 0.52831 0.572 4.57 MMT 0.53 55353.6 0.7 1.3355 0.6915 0.0058 0.0431 22.6465 0.05 9.633 0.346 0.063 1.0 1.0 1.0 1.0
psc050201 16:06:48.805 +54:58:51.35 16:06:48.621 +54:58:56.45 -999 -999 -999 -999 0.55 55354.5 0.2 0.2882 0.6385 -0.062 0.0453 22.7972 0.0521 10.559 0.208 0.07 1.0 1.0 1.0 1.0
psc050203 16:11:10.310 +55:07:20.30 16:11:10.063 +55:07:18.21 -999 -999 -999 -999 0.576 55350.2 0.7 1.019 0.641 -0.1109 0.0556 22.8547 0.0621 8.835 0.909 0.077 1.0 1.0 1.0 1.0
psc050251 14:17:18.567 +53:58:41.94 14:17:18.486 +53:58:41.61 0.38755 1.006 7.17 MMT 0.387 55367.9 0.1 0.7095 0.5858 0.002 0.0467 22.218 0.0567 11.401 0.112 0.026 1.0 1.0 1.0 1.0
psc050291 16:18:15.872 +55:23:04.94 16:18:15.666 +55:23:02.20 0.32537 4.303 17.29 MMT 0.323 55349.4 0.4 0.3421 0.3769 0.0181 0.0389 21.916 0.0454 11.169 0.261 0.016 1.0 1.0 1.0 1.0
psc050293 16:17:47.705 +55:18:08.24 16:17:46.985 +55:18:02.09 -999 -999 -999 -999 0.36 55355.7 0.2 0.4049 0.3971 -0.0096 0.0316 21.8163 0.035 8.555 57.804 0.021 1.0 1.0 1.0 1.0
psc050296 16:13:48.217 +55:36:30.73 16:13:48.404 +55:36:30.83 0.35086 2.207 8.24 MMT 0.36 55358.9 0.4 0.8203 0.4775 -0.0405 0.0365 21.7411 0.046 10.905 0.07 0.02 1.0 1.0 1.0 1.0
psc050301 16:18:53.806 +55:46:58.48 16:18:53.911 +55:46:59.26 -999 -999 -999 -999 0.347 55358.3 0.4 0.8444 0.4876 0.1669 0.0363 22.0878 0.044 10.913 0.446 0.019 1.0 1.0 1.0 1.0
psc050303 16:05:44.833 +56:04:27.90 16:05:44.736 +56:04:26.97 0.32826 1.158 13.99 MMT 0.331 55356.0 0.7 0.6189 0.7331 0.1906 0.05 22.367 0.0619 11.248 0.106 0.016 1.0 1.0 1.0 1.0
