ID RA Dec RAHost DecHost zHost NormSep TDR zSource zSN tpk e_tpk x1 e_x1 c e_c mB e_mB logM e_logM distcorr PIa_PSNID PIa_NN PIa_Fitprob PIa_Galsnid
psc000210 09:57:52.693 +03:00:30.82 09:57:52.699 +03:00:31.73 0.61154 2.983 6.56 MMT -999 55212.7 0.9 -0.0415 0.6786 -0.0503 0.0474 23.404 0.0427 10.706 0.288 0.078 0.6453 0.9839 0.9838 0.9802
psc000227 08:45:59.141 +45:24:21.06 08:45:59.117 +45:24:21.03 0.49744 1.799 4.88 MMT -999 55210.4 0.7 0.2455 0.7269 0.0855 0.0644 23.2032 0.0669 9.101 0.178 0.048 0.9983 0.984 0.9975 0.6538
psc000260 08:47:15.257 +43:13:14.53 08:47:15.211 +43:13:15.15 0.56106 3.434 4.59 MMT -999 55222.0 0.5 -0.0644 0.4756 -0.2101 0.0404 22.6882 0.0526 11.568 0.068 0.066 -99.0 0.5652 0.9446 0.9998
psc000268 08:48:04.057 +43:55:12.43 08:48:04.058 +43:55:12.35 0.64037 0.943 5.04 MMT -999 55211.3 0.9 0.6393 0.6356 0.02 0.0073 23.3832 0.0467 9.523 0.326 0.069 -99.0 0.9717 0.9753 0.9745
psc000345 10:41:59.714 +58:58:59.46 10:41:59.865 +58:58:56.82 0.34272 2.453 7.39 MMT -999 55222.3 0.2 -0.8202 0.1984 -0.0991 0.0293 21.8141 0.0331 11.444 0.393 0.004 1.0 0.8686 0.9764 0.9201
psc000349 08:44:03.615 +44:43:39.31 08:44:03.612 +44:43:39.15 0.48180 0.670 6.78 MMT -999 55218.8 0.6 -0.1076 0.533 0.0783 0.044 22.7802 0.052 11.198 0.276 0.042 0.9999 0.9774 0.9779 0.9999
psc000418 09:58:25.701 +01:41:39.00 09:58:25.725 +01:41:39.55 0.58177 1.345 4.06 MMT -999 55218.4 0.9 1.0254 0.7604 -0.0181 0.0503 23.4564 0.0515 11.351 0.068 0.071 -99.0 0.9865 0.833 0.965
psc000552 10:00:26.580 +02:28:59.67 10:00:26.652 +02:28:59.35 0.33316 1.100 -999 zCOSMOS -999 55228.0 0.3 0.1707 0.322 -0.0929 0.0323 21.5229 0.0438 11.395 0.256 0.002 1.0 0.8743 0.9427 0.8753
psc010009 09:58:52.371 +00:52:13.87 09:58:52.355 +00:52:14.10 -999 0.354 -99.0 SDSS -999 55228.0 0.3 -2.3971 0.3198 0.1015 0.0489 20.5286 0.0632 11.18 0.094 -0.01 -99.0 0.5139 0.949 0.997
psc010014 10:01:54.194 +01:09:07.10 10:01:54.262 +01:09:03.98 0.21608 1.793 7.66 AAT/AAOmega -999 55235.4 0.2 -0.1151 0.2119 -0.0298 0.0269 20.807 0.033 10.826 0.12 -0.006 -99.0 0.931 0.9657 0.8685
psc010024 10:51:06.390 +57:34:37.09 10:51:06.369 +57:34:36.00 0.41987 1.502 10.35 MMT -999 55225.8 0.4 -0.771 0.4499 -0.0581 0.0439 22.4832 0.0516 11.467 0.025 0.018 1.0 0.9775 0.9887 0.999
psc010053 10:45:26.999 +57:57:09.27 10:45:26.929 +57:57:09.69 0.24626 1.078 11.0 MMT -999 55243.4 0.3 -2.9845 0.4772 0.0007 0.0392 21.2197 0.0437 11.946 0.096 -0.005 -99.0 0.6141 0.851 0.9957
psc010055 10:05:02.987 +01:57:53.74 10:05:02.971 +01:57:53.63 0.30356 0.333 5.51 AAT/AAOmega -999 55234.7 0.6 -1.4649 0.4627 0.0442 0.045 21.8886 0.0535 11.269 0.057 -0.002 1.0 0.8553 0.9847 0.9914
psc010074 10:43:29.367 +56:51:55.74 10:43:29.412 +56:51:55.69 0.68979 0.632 4.39 MMT -999 55242.7 0.4 -0.2457 0.7361 -0.2317 0.052 23.6762 0.0634 10.517 0.416 0.053 -99.0 0.5 0.9455 0.5571
psc010167 08:40:02.433 +43:30:49.76 08:40:02.524 +43:30:44.68 0.11945 1.645 18.15 MMT -999 55240.8 0.2 1.0016 0.2428 0.1958 0.0286 20.8278 0.0365 10.375 0.278 -0.011 -99.0 -99.0 -99.0 0.91
psc010174 10:01:59.940 +02:08:48.90 10:01:59.798 +02:08:50.51 0.21915 3.388 4.24 AAT/AAOmega -999 55247.8 0.3 -0.3146 0.3164 0.1099 0.0299 21.241 0.0361 -999.0 -999.0 -0.006 -99.0 0.8533 0.7228 0.6995
psc010178 10:52:39.050 +56:58:37.46 10:52:39.112 +56:58:36.88 0.37552 0.605 9.6 MMT -999 55242.1 0.3 0.7524 0.3766 -0.0961 0.0278 21.7833 0.0299 9.589 0.334 0.009 1.0 0.8469 0.9889 0.9583
psc010191 10:57:26.959 +58:03:54.00 10:57:26.990 +58:03:53.97 0.38688 0.490 13.72 MMT -999 55241.5 0.4 -1.1195 0.6191 -0.0665 0.0381 22.1296 0.0398 11.517 0.222 0.01 1.0 0.9519 0.9252 0.9999
psc010196 12:16:49.601 +46:14:06.33 12:16:49.577 +46:14:06.27 0.36851 0.624 7.34 MMT -999 55246.4 0.2 -1.457 0.8758 0.2275 0.0749 22.9622 0.0836 11.192 0.156 0.008 -99.0 -99.0 0.7752 0.9974
psc010203 08:40:02.783 +43:26:32.84 08:40:02.725 +43:26:33.14 0.08732 1.044 23.88 MMT 0.087 55230.6 0.1 1.2343 0.1629 -0.0614 0.0283 18.1465 0.0339 10.384 0.009 -0.012 -99.0 0.8167 0.5283 -99.0
psc010204 08:41:36.064 +43:24:02.18 08:41:36.025 +43:24:02.56 0.47664 1.741 8.08 MMT 0.476 55241.1 0.4 -1.7268 0.8385 -0.0319 0.0479 22.8014 0.0542 10.519 0.315 0.04 0.9957 0.9597 0.9608 0.993
psc010218 09:54:32.470 +01:56:37.52 09:54:32.455 +01:56:38.21 0.57668 2.468 4.28 MMT -999 55248.7 0.5 0.5089 0.7676 -0.0983 0.0558 23.1427 0.0679 9.737 0.152 0.07 0.8756 0.9508 0.9861 0.9037
psc010222 12:16:56.796 +47:17:21.67 12:16:56.817 +47:17:22.39 0.40810 1.777 7.28 MMT -999 55241.3 0.4 0.1387 0.5232 0.0284 0.0358 22.3719 0.0378 10.164 0.301 0.014 0.9998 0.9668 0.8937 0.9524
psc010230 12:21:10.815 +47:48:13.43 12:21:10.792 +47:48:13.10 0.30320 1.413 9.42 MMT -999 55246.3 0.4 -0.6586 0.3621 -0.0423 0.035 21.7696 0.0413 10.395 0.156 -0.002 1.0 0.8895 0.8663 0.8986
psc010430 08:45:12.962 +43:52:36.68 08:45:12.976 +43:52:38.13 -999 1.440 -99.0 SDSS -999 55258.2 0.5 -1.4472 0.4276 -0.0286 0.0678 21.885 0.0907 12.07 0.194 0.001 0.9622 0.9137 0.7897 0.9847
psc020026 12:15:12.802 +46:02:40.40 12:15:12.784 +46:02:41.30 0.32057 1.287 5.04 MMT -999 55276.6 0.4 0.3144 0.3252 -0.1266 0.0306 21.4847 0.0361 10.824 0.041 -0.0 1.0 0.7749 0.8696 0.6709
psc020033 12:17:03.989 +46:04:22.76 12:17:04.116 +46:04:20.33 0.52998 2.815 8.83 MMT -999 55268.5 1.5 -0.8876 0.9621 -0.0648 0.0741 22.7999 0.099 11.737 0.012 0.058 -99.0 0.9945 0.99 0.9996
psc020034 12:18:12.125 +46:05:10.35 12:18:12.000 +46:05:10.87 0.19914 1.525 7.38 MMT -999 55272.1 0.3 -1.1651 0.4307 0.0845 0.0339 20.8344 0.0351 11.037 0.048 -0.007 -99.0 0.7804 0.6363 0.7614
psc020047 09:56:56.438 +01:36:49.80 09:56:56.503 +01:36:49.99 0.26614 1.103 4.2 MMT -999 55260.2 0.8 -0.9521 0.8836 0.1111 0.1506 22.8355 0.2207 10.528 0.15 -0.004 0.985 0.8727 0.8317 0.9585
psc020104 09:58:36.773 +02:17:37.70 09:58:36.813 +02:17:37.53 0.30627 0.119 14.02 MMT -999 55277.1 0.6 0.7011 0.5329 -0.08 0.0264 21.5092 0.0384 10.905 0.256 -0.002 0.9314 0.8317 0.7976 0.9448
psc020123 12:22:25.600 +48:02:28.65 12:22:25.692 +48:02:29.95 0.49764 2.874 4.19 MMT -999 55265.3 1.4 -0.6676 0.9672 -0.0184 0.0866 22.8082 0.1098 10.532 0.382 0.048 0.9915 0.9796 0.9999 0.9892
psc020148 10:38:21.977 +57:23:24.29 10:38:21.820 +57:23:23.82 -999 0.683 -99.0 SDSS 0.1017 55259.7 0.2 -1.1032 0.2414 -0.0234 0.0363 18.9912 0.0471 11.306 0.064 -0.012 -99.0 0.8472 0.8052 0.9951
psc020194 09:58:34.810 +00:49:52.09 09:58:34.812 +00:49:51.78 0.24578 0.393 8.83 MMT -999 55277.9 0.5 -1.0117 0.7343 0.0795 0.0576 21.4249 0.0644 10.965 0.133 -0.005 -99.0 0.8556 0.708 0.9982
psc020198 10:46:52.536 +57:07:45.51 10:46:52.540 +57:07:45.40 0.36076 0.448 12.46 MMT 0.36 55286.2 0.7 -0.8048 0.8915 -0.0829 0.0814 22.2772 0.1258 10.034 0.032 0.006 0.5443 0.9083 0.9041 0.6543
psc030005 12:25:23.413 +47:29:11.16 12:25:23.424 +47:29:10.85 0.42016 0.523 7.48 MMT -999 55284.7 0.6 -1.3448 0.6167 -0.0018 0.0758 22.2969 0.1011 11.27 0.018 0.018 0.981 0.966 0.9934 0.9999
psc030007 14:09:23.651 +53:37:06.96 14:09:23.635 +53:37:07.06 0.25978 1.275 11.92 MMT -999 55293.8 0.4 -0.6685 0.337 0.0674 0.05 21.52 0.0723 10.03 0.279 -0.004 1.0 0.8768 0.9808 0.5319
psc030068 12:14:39.905 +48:05:21.86 12:14:39.72 +48:05:22.10 0.29626 2.365 8.32 MMT -999 55294.7 0.3 -0.3098 0.7888 -0.0123 0.0756 22.4759 0.0942 11.457 0.102 -0.002 0.9989 0.9027 0.6389 0.9974
psc030216 14:14:56.573 +54:12:41.36 14:14:56.627 +54:12:43.21 0.19841 1.582 8.36 MMT -999 55304.1 0.9 -2.1571 0.532 0.0099 0.0411 21.7754 0.0625 10.799 0.094 -0.007 -99.0 0.7531 0.8888 0.7611
psc030245 12:26:08.644 +46:30:52.82 12:26:08.666 +46:30:52.84 0.58069 0.785 4.61 WIYN/Hydra -999 55290.2 0.8 -0.6329 0.6858 -0.1878 0.0763 22.6774 0.0874 10.45 0.45 0.071 1.0 0.8648 0.731 0.9987
psc030252 12:17:28.971 +48:05:38.04 12:17:28.923 +48:05:38.05 0.32567 2.510 6.51 WIYN/Hydra -999 55319.1 0.6 0.7458 0.5516 0.0943 0.0549 22.2392 0.0919 8.784 0.193 0.001 1.0 0.8583 0.8603 0.5143
psc030263 12:20:47.700 +48:10:01.13 12:20:47.774 +48:10:00.74 0.29908 0.370 4.97 MMT -999 55312.0 0.2 0.7168 0.2749 -0.0486 0.03 21.1702 0.0452 10.116 0.31 -0.002 1.0 0.8404 0.7973 0.911
psc040121 10:39:04.002 +58:35:25.74 10:39:03.921 +58:35:27.14 0.32218 1.853 4.55 MMT -999 55309.5 0.4 0.5609 0.368 -0.0295 0.038 21.5273 0.0491 9.409 0.282 0.0 1.0 0.8803 0.9949 0.6662
psc040139 14:17:09.899 +53:05:11.39 14:17:09.885 +53:05:11.20 0.26734 0.864 23.55 MMT -999 55324.3 0.9 -0.2105 0.3062 0.1459 0.0357 21.6022 0.0531 10.224 0.28 -0.004 1.0 0.7873 0.9233 -99.0
psc040147 14:15:40.447 +54:13:43.84 14:15:40.454 +54:13:43.82 0.24368 0.194 8.63 MMT -999 55317.4 0.4 -0.9274 0.2932 0.0999 0.0434 21.3206 0.0686 10.459 0.148 -0.005 -99.0 0.8653 0.9513 0.946
psc040151 12:21:49.673 +46:27:04.69 12:21:49.768 +46:27:06.13 0.25615 2.506 16.44 MMT -999 55326.3 0.2 -1.5759 0.3256 0.0139 0.0319 21.4776 0.0386 11.207 0.015 -0.004 1.0 0.7837 0.7547 0.9987
psc040163 12:22:04.649 +47:00:36.57 12:22:04.663 +47:00:37.89 0.41581 2.993 5.52 MMT -999 55321.3 0.2 -0.2476 0.4696 -0.0703 0.051 22.2858 0.0619 9.822 0.632 0.016 1.0 0.9674 0.9993 0.9549
psc040168 12:27:10.790 +47:11:23.08 12:27:10.792 +47:11:22.92 0.20645 0.632 16.55 MMT -999 55325.0 0.2 -0.3418 0.5412 0.1059 0.0467 20.9596 0.0467 10.898 0.084 -0.006 -99.0 0.8719 -99.0 -99.0
psc040169 10:49:29.312 +58:45:59.04 10:49:29.349 +58:45:59.01 0.42124 0.788 8.35 MMT -999 55332.6 0.3 0.208 0.9367 -0.0086 0.0639 22.6978 0.0775 10.609 0.242 0.018 0.6477 0.7739 0.9855 0.9985
psc040170 12:14:21.336 +47:50:35.24 12:14:21.256 +47:50:39.52 0.18977 3.676 21.88 MMT -999 55330.4 0.3 -0.9354 0.1874 -0.0088 0.0277 20.4916 0.0315 11.449 0.046 -0.007 -99.0 0.9098 0.6348 0.986
psc040176 12:20:58.357 +45:56:04.95 12:20:58.375 +45:56:04.84 0.34774 0.455 11.59 MMT -999 55327.3 1.7 1.3508 0.778 0.0249 0.0416 21.7839 0.0513 10.992 0.053 0.004 1.0 0.7498 -99.0 0.9511
psc040313 12:16:25.190 +48:21:56.92 12:16:25.161 +48:21:56.79 0.26581 1.481 7.6 MMT -999 55335.8 0.6 -0.3942 0.7265 0.2349 0.0562 22.602 0.0793 9.791 0.106 -0.004 0.9996 -99.0 0.9105 -99.0
psc040316 14:11:23.481 +52:26:04.60 14:11:23.433 +52:26:04.15 0.44257 1.471 11.61 MMT -999 55324.0 0.2 0.2856 0.7821 0.2164 0.0746 22.886 0.0808 10.464 0.14 0.026 0.6527 0.9017 0.9952 0.9841
psc040318 14:17:19.798 +53:06:45.28 14:17:19.807 +53:06:45.00 0.29954 0.646 12.36 MMT -999 55334.4 0.2 0.1092 0.6165 -0.0131 0.0501 22.0669 0.0599 10.588 0.272 -0.002 0.6791 0.9033 -99.0 0.8244
psc040343 10:39:09.733 +58:40:39.34 10:39:09.748 +58:40:39.15 0.34282 0.628 5.38 MMT -999 55334.0 0.7 -0.0185 0.6454 0.1066 0.0554 22.247 0.0588 10.898 0.022 0.004 0.9789 0.8479 0.983 0.9318
psc040377 10:40:51.886 +58:52:53.49 10:40:51.832 +58:52:53.22 0.35197 0.643 15.25 MMT -999 55302.4 1.1 1.248 0.6286 0.1252 0.0674 22.1532 0.0757 9.75 0.467 0.005 0.9959 0.7587 0.7937 0.9712
psc040434 12:21:24.625 +45:53:41.62 12:21:24.595 +45:53:41.62 0.65410 1.559 4.26 MMT -999 55315.6 0.9 -1.6239 0.838 -0.0591 0.0891 23.0359 0.1119 10.861 0.018 0.064 -99.0 0.9773 0.9787 0.996
psc040473 10:58:22.121 +58:28:59.26 10:58:22.401 +58:29:00.95 0.16108 2.872 17.76 MMT -999 55302.6 1.4 0.0562 0.571 -0.0073 0.1303 19.9912 0.1376 10.964 0.03 -0.009 -99.0 0.922 0.9571 0.9688
psc040477 16:20:34.011 +54:48:24.17 16:20:33.996 +54:48:24.00 0.34581 0.888 11.11 MMT -999 55332.0 0.6 0.6963 0.4177 -0.0233 0.032 21.528 0.0352 11.003 0.038 0.004 1.0 0.8821 0.9939 0.8907
psc040511 16:07:40.019 +55:07:29.93 16:07:39.907 +55:07:28.07 0.31424 0.684 14.02 MMT -999 55343.1 0.3 -0.1648 0.3552 0.1103 0.0385 21.8293 0.0505 11.382 0.008 -0.001 1.0 0.8236 0.9494 0.9968
psc040512 16:08:01.032 +54:13:24.24 16:08:01.035 +54:13:25.14 0.31531 1.734 6.23 MMT -999 55337.8 0.3 -1.7127 0.3336 -0.0884 0.0364 21.7982 0.0437 10.726 0.03 -0.001 1.0 0.8342 0.6903 0.9283
psc040530 16:10:49.811 +54:49:06.59 16:10:49.922 +54:49:06.72 0.26544 1.514 19.99 MMT -999 55345.8 0.3 -0.0344 0.2495 -0.0841 0.031 21.1097 0.0412 9.589 0.234 -0.004 1.0 0.8574 0.9199 -99.0
psc040540 14:08:37.451 +52:39:37.15 14:08:37.461 +52:39:36.80 0.60924 0.455 7.01 MMT -999 55335.6 1.1 -2.1014 0.8737 -0.0406 0.0696 22.9856 0.0924 11.786 0.076 0.078 0.9998 0.9653 0.8935 0.9998
psc040573 12:14:05.821 +47:15:04.48 12:14:05.868 +47:15:04.03 0.36201 0.320 4.23 MMT -999 55340.0 0.4 -2.6841 0.5067 -0.2733 0.0532 22.2919 0.0749 10.465 0.178 0.006 -99.0 -99.0 -99.0 0.9122
psc040593 12:19:33.858 +45:50:28.46 12:19:33.938 +45:50:29.34 0.32237 1.850 19.79 MMT -999 55339.0 0.6 0.422 0.7971 0.0939 0.0677 21.9876 0.0956 11.043 0.23 0.0 0.9982 0.8029 0.9184 0.8229
psc040693 14:15:27.863 +52:23:50.02 14:15:27.861 +52:23:50.06 0.46709 1.068 7.35 MMT -999 55341.4 0.7 -0.2476 0.7715 0.0868 0.0672 22.8746 0.0859 11.075 0.174 0.036 0.9781 0.9737 0.9976 0.996
psc040783 16:11:06.899 +54:49:49.74 16:11:06.821 +54:49:49.04 0.32858 1.496 20.74 MMT -999 55345.3 0.7 -1.6305 0.7164 0.0625 0.0734 22.1791 0.0912 11.28 0.186 0.001 0.9965 0.8571 0.776 0.5811
psc050004 14:10:49.486 +53:50:17.45 14:10:49.471 +53:50:17.66 0.44573 3.123 5.51 MMT -999 55345.8 0.7 0.6175 0.6446 0.0168 0.0492 22.9129 0.0672 9.199 0.206 0.028 1.0 0.9801 0.6836 0.8128
psc050017 12:25:59.135 +46:42:52.71 12:25:59.025 +46:42:52.66 0.35337 1.625 13.33 MMT -999 55348.4 0.9 0.739 0.8126 0.0618 0.0587 22.198 0.0785 11.168 0.071 0.005 0.8833 0.9037 0.7691 0.8549
psc050172 12:21:43.238 +47:01:25.94 12:21:43.293 +47:01:25.83 0.49427 0.456 6.86 MMT -999 55352.3 0.7 2.0353 0.7354 -0.0154 0.0411 22.4534 0.047 10.316 0.192 0.046 1.0 0.8472 0.9747 0.9914
psc050298 16:12:38.024 +55:43:14.67 16:12:37.857 +55:43:14.58 0.52239 2.464 13.63 MMT -999 55346.1 0.6 -0.1265 0.5568 -0.0813 0.0515 22.4441 0.0689 10.86 0.318 0.056 0.9989 0.9634 0.9977 0.9994
psc050617 14:18:25.922 +53:54:43.07 14:18:25.954 +53:54:43.34 0.37880 0.491 14.07 MMT -999 55368.0 0.8 -0.5707 0.6544 -0.002 0.0529 22.3091 0.057 10.708 0.222 0.009 0.9906 0.9558 0.9472 0.887
psc050625 16:07:18.197 +53:49:47.77 16:07:18.122 +53:49:47.52 0.33292 1.008 4.86 MMT -999 55373.7 0.4 -0.0474 0.444 0.056 0.041 21.9636 0.0548 11.158 0.042 0.002 1.0 0.8919 0.9136 0.9905
psc050656 16:16:50.373 +54:38:46.73 16:16:50.345 +54:38:46.11 0.37066 1.547 7.75 MMT -999 55379.3 0.3 0.8353 0.3277 -0.0478 0.0325 21.8324 0.0399 10.39 0.26 0.008 1.0 0.866 0.9475 0.8422
psc050665 16:10:34.502 +54:57:25.53 16:10:34.656 +54:57:25.51 0.58793 0.729 9.11 MMT -999 55363.5 0.9 0.7058 0.7651 -0.0831 0.0473 22.8687 0.0593 11.636 0.21 0.073 1.0 0.9575 0.9876 0.9999
psc050669 16:05:55.722 +55:22:35.18 16:05:55.830 +55:22:34.37 0.39286 0.927 8.23 MMT 0.393 55378.0 0.1 0.5546 0.3307 -0.0813 0.0352 21.9076 0.045 11.579 0.035 0.011 1.0 0.9062 0.9809 0.9938
psc051109 16:12:11.536 +54:00:32.46 16:12:11.373 +54:00:33.53 0.23021 2.428 16.5 MMT -999 55304.6 0.5 -1.1645 0.2601 -0.0321 0.0353 21.0557 0.0394 9.874 0.266 -0.005 -99.0 0.9066 -99.0 -99.0
psc052136 14:12:54.447 +52:47:32.50 14:12:54.669 +52:47:34.40 0.48078 4.780 4.43 MMT -999 55373.6 0.5 0.7401 0.5566 -0.0708 0.0397 22.4022 0.0481 11.09 0.509 0.041 0.9999 0.9481 0.9913 0.9992
psc060015 16:03:50.262 +54:12:36.57 16:03:49.984 +54:12:37.36 0.38476 2.228 8.91 MMT -999 55385.2 0.5 0.481 0.4189 -0.0042 0.0416 22.1265 0.0512 11.108 0.14 0.01 0.9998 0.9335 0.9833 0.9986
psc060141 16:09:39.092 +54:16:08.94 16:09:38.981 +54:16:07.50 0.19033 2.400 4.24 MMT -999 55393.5 0.2 -1.3931 0.1748 -0.1089 0.0346 20.4359 0.0377 10.781 0.08 -0.007 -99.0 0.7937 0.8793 0.9176
psc060157 14:06:23.102 +52:47:30.36 14:06:23.119 +52:47:30.34 0.33137 0.220 12.25 MMT -999 55394.7 1.0 -1.7214 0.6191 -0.0983 0.0491 21.6311 0.0639 11.036 0.268 0.002 0.9627 0.8416 0.9731 0.9924
psc060169 16:13:15.442 +54:26:35.94 16:13:15.425 +54:26:35.80 0.40557 1.079 5.05 MMT -999 55390.9 0.5 0.2996 0.4732 -0.0666 0.0422 22.2257 0.0535 9.692 0.276 0.013 1.0 0.9408 0.9975 0.9241
psc060199 14:09:39.159 +53:38:35.01 14:09:38.94 +53:38:35.64 0.25334 2.305 6.3 MMT -999 55397.2 0.1 -1.8683 0.0811 -0.0536 0.5725 21.7624 0.1795 10.846 0.158 -0.004 0.915 0.8119 0.8803 0.9131
psc060238 22:14:42.320 +00:47:51.70 22:14:42.42 +00:47:54.87 0.32178 3.207 14.52 MMT -999 55371.4 0.8 0.4493 0.5004 -0.0832 0.053 21.1743 0.1155 11.466 0.036 0.0 -99.0 0.8861 0.7551 0.9978
psc060242 14:12:36.512 +54:02:59.78 14:12:36.289 +54:03:00.35 0.10968 2.425 19.63 MMT 0.11 55393.8 0.2 0.2546 0.7255 0.1834 0.0607 20.7677 0.0728 9.916 0.047 -0.012 -99.0 0.6495 0.9557 -99.0
psc060249 22:19:51.403 +00:53:51.82 22:19:51.366 +00:53:50.59 0.32782 2.238 10.12 MMT 0.329 55374.8 0.2 -1.625 0.6644 -0.1843 0.0821 21.6967 0.1588 10.974 0.085 0.001 0.8296 0.5168 0.8253 0.978
psc061139 16:20:07.404 +54:17:14.47 16:20:07.377 +54:17:12.66 0.32804 1.916 7.65 WIYN/Hydra -999 55412.3 0.7 -1.3313 0.5274 0.0279 0.0449 22.0696 0.0514 11.13 0.014 0.001 0.9235 0.8906 0.9486 0.8555
psc061190 02:22:43.622 -04:57:11.44 02:22:43.609 -04:57:11.43 0.21019 2.059 4.13 WIYN/Hydra -999 55402.6 0.0 -1.4255 0.467 0.2942 0.074 22.348 0.1055 9.139 57.516 -0.006 -99.0 -99.0 0.5879 0.8567
psc061191 02:25:06.486 -05:00:03.06 02:25:06.500 -05:00:03.91 0.26966 0.600 9.6 MMT 0.271 55415.5 0.5 0.4861 0.2721 -0.0579 0.0265 21.2245 0.0352 10.036 0.128 -0.004 1.0 0.8763 0.6911 0.9467
psc061192 02:20:30.796 -04:59:51.58 02:20:30.570 -04:59:51.00 0.23379 3.258 24.01 MMT -999 55402.0 2.1 -0.7838 0.4527 0.0297 0.0683 21.3475 0.1476 10.58 0.18 -0.005 -99.0 0.9118 0.9562 -99.0
psc061197 02:21:54.589 -04:11:18.99 02:21:54.589 -04:11:18.76 0.32885 0.759 11.07 MMT 0.329 55415.2 0.4 -0.6826 0.4279 0.02 0.0096 21.7843 0.0333 11.127 0.194 0.001 1.0 0.9122 -99.0 0.9955
psc070003 22:12:09.952 +00:43:09.41 22:12:09.924 +00:43:09.75 0.13641 1.200 25.39 MMT 0.138 55418.7 0.2 0.4308 0.1497 0.0885 0.0268 20.1473 0.0397 9.722 0.098 -0.01 -99.0 0.8367 0.7898 -99.0
psc070020 23:32:52.053 -00:45:33.47 23:32:52.104 -00:45:33.36 0.25898 1.140 10.51 MMT -999 55415.8 0.3 -0.765 0.3919 -0.178 0.0366 21.9684 0.0421 9.646 0.259 -0.004 -99.0 0.5985 -99.0 0.8775
psc070048 16:04:04.105 +54:11:55.50 16:04:04.084 +54:11:55.56 0.42341 -99.000 7.62 MMT -999 55406.9 0.3 -0.2892 0.9195 0.163 0.0938 22.6883 0.0998 11.584 0.553 0.019 -99.0 0.9393 0.9063 0.9894
psc070054 16:11:45.287 +55:17:56.99 16:11:45.148 +55:17:57.80 0.44679 2.175 4.18 MMT -999 55421.6 0.6 0.3281 0.6338 -0.0456 0.0461 22.5837 0.0581 11.835 0.01 0.028 0.9649 0.9755 0.9977 0.9998
psc070071 22:19:56.442 -00:26:30.92 22:19:56.455 -00:26:31.59 0.36762 0.553 10.89 MMT -999 55421.1 0.4 -0.6579 0.4839 -0.2338 0.0389 21.7728 0.0501 11.716 0.169 0.007 1.0 -99.0 0.9876 0.9995
psc070096 16:12:31.207 +53:48:33.16 16:12:30.933 +53:48:32.95 0.39277 3.814 9.75 MMT -999 55422.0 0.4 -0.5459 0.4368 -0.0371 0.042 22.2891 0.0504 11.356 0.082 0.011 1.0 0.9654 0.9828 0.9996
psc070110 02:21:07.819 -05:06:01.49 02:21:07.801 -05:06:00.33 0.27905 1.861 10.15 MMT -999 55412.5 1.2 0.0313 0.452 0.2121 0.0446 22.2399 0.0718 10.875 0.474 -0.003 1.0 0.5869 0.8378 0.7176
psc070111 02:25:34.355 -05:13:07.13 02:25:34.316 -05:13:07.63 0.35264 2.027 5.84 MMT 0.354 55413.4 0.2 0.6441 0.5679 0.1107 0.0426 22.281 0.0549 10.203 0.195 0.005 1.0 0.8668 0.6578 0.8775
psc070175 16:07:36.818 +54:48:35.15 16:07:36.751 +54:48:34.95 0.54819 1.877 7.9 MMT -999 55408.5 1.6 -1.243 0.8807 -0.0701 0.0484 23.1873 0.0942 11.373 0.07 0.062 0.8983 0.9816 0.9969 0.9964
psc070194 16:03:34.996 +55:22:48.35 16:03:34.968 +55:22:48.58 0.47596 0.691 15.97 MMT 0.476 55419.9 0.8 1.0353 0.8056 -0.0283 0.053 22.6521 0.0671 11.484 0.302 0.039 0.9006 0.9525 0.8551 0.9987
psc070200 02:26:38.462 -03:36:57.83 02:26:38.595 -03:37:00.04 0.43624 1.579 11.72 MMT -999 55413.3 1.5 -1.2987 0.7808 0.0579 0.0578 22.6385 0.0701 11.562 0.25 0.024 0.9999 0.942 0.983 0.98
psc070264 22:13:47.572 +00:26:28.25 22:13:47.539 +00:26:27.66 0.33038 2.910 5.02 MMT -999 55426.4 0.2 0.0477 0.2325 -0.0346 0.0305 21.8682 0.0422 -999.0 -999.0 0.002 1.0 0.895 0.867 0.8777
psc070402 16:13:33.837 +54:18:07.87 16:13:33.739 +54:18:07.68 0.31653 1.792 12.19 MMT -999 55428.8 0.2 0.0473 0.2565 -0.0189 0.0344 21.6621 0.0437 10.949 0.109 -0.001 1.0 0.8975 0.7859 0.9146
psc070459 22:12:43.607 +00:36:42.44 22:12:43.593 +00:36:42.46 0.53115 0.690 6.77 MMT 0.533 55425.1 0.6 -1.7056 0.5765 -0.1113 0.0576 22.942 0.0614 11.745 0.09 0.058 1.0 0.952 0.9676 0.9996
psc070470 02:19:48.006 -03:42:10.47 02:19:48.018 -03:42:10.63 0.35174 0.251 5.92 MMT -999 55429.8 0.2 1.3573 0.2406 0.0042 0.0291 21.8677 0.0359 9.528 0.36 0.005 1.0 0.7593 0.9259 0.9735
psc070472 16:10:50.303 +55:35:40.73 16:10:50.222 +55:35:40.96 0.66665 1.549 5.61 MMT 0.667 55422.3 1.1 0.1293 0.9633 0.1126 0.0974 23.2625 0.082 11.488 0.305 0.06 -99.0 1.0 0.9798 0.9958
