ID zCMB mu e_mu RA DEC mB e_mB x1 e_x1 c e_c Sample GID
2006sr 0.02318333333333333 34.31184968561441 0.12461222778388195 0.9311677655757472 23.168222807318593 "" "" "" "" "" "" Hicken 0
2008hj 0.0379 35.396662482156344 0.04 1.0079583333333333 -10.83125 "" "" "" "" "" "" CSP-DR3 0
2003it 0.023983333333333332 34.31393549117672 0.14236233873937346 1.4804474788230126 27.488332440580788 "" "" "" "" "" "" Hicken 0
2000dg 0.037000000000000005 35.21427782698897 0.1507122337755048 1.55754 8.88819 16.989 0.068 -1.442 0.42 -0.057 0.045 LOSS 0
2002hw 0.016 33.28971438456965 0.1397647216203088 1.70442 8.630139999999999 16.646 0.038 -1.849 0.203 0.377 0.034 LOSS 0
2016ick 0.05123 36.08518686168353 0.07806182268562538 1.7631299999999999 -20.696839999999998 17.28 0.04 0.43 0.21 -0.07200000000000001 0.031 Foundation 0
1992au 0.06071 36.34394258111792 0.2224212678604084 2.625593782031725 -50.02340264713374 "" "" "" "" "" "" Old 0
ASASSN-15sf 0.02445 34.5621607146792 0.07806182268562538 2.8650900000000004 -6.427309999999999 15.7 0.04 1.01 0.14 -0.065 0.03 Foundation 0
1998dk 0.01203 32.84511293014782 0.2384109173652865 3.621351976898111 -0.7810511129382687 "" "" "" "" "" "" Old 0
2007s1 0.026 34.53414726402955 0.13738332289474736 3.74929 16.335 16.500999999999998 0.028 -0.746 0.09 0.021 0.027000000000000003 LOSS 0
ASASSN-15tg 0.0354 35.13181283358376 0.07806182268562538 5.17108 25.22906 16.23 0.04 1.46 0.13 -0.057999999999999996 0.03 Foundation 0
2016eoa 0.01814333333333333 33.95429722013065 0.08996470508483878 5.34333 22.43361 15.66 0.06 -1.51 0.14 0.015 0.035 Foundation 4298
2007A 0.0177 33.486662482156355 0.06 6.319416666666666 12.886805555555556 "" "" "" "" "" "" CSP-DR3 0
1997cw 0.01594 33.11521217123191 0.17690413626835647 6.327603316287564 12.872326383518974 "" "" "" "" "" "" Old 0
1996bl 0.034776666666666664 35.10035551766921 0.13912517777001907 9.080162560522917 11.39755059544408 "" "" "" "" "" "" Old 0
2006ej 0.019186666666666668 33.893288159736784 0.1366433445641994 9.747097707787916 -9.06624043990633 "" "" "" "" "" "" Hicken 0
2003ic 0.054163333333333334 35.793319904069946 0.14526713412725006 10.445201603376608 -9.273546981496077 "" "" "" "" "" "" Hicken 0
2006et 0.02138333333333333 34.098377599971464 0.13649818993475424 10.677003635200617 -23.53382262525655 "" "" "" "" "" "" Hicken 0
2006mo 0.036173333333333335 35.15481921189138 0.14113862946664948 11.712884104983075 36.36257424447799 "" "" "" "" "" "" Hicken 0
1998de 0.015586666666666669 33.50048852306527 0.09919552798308864 11.99957618748878 27.66551705652634 "" "" "" "" "" "" Old 0
2006gt 0.04367 35.74594155268004 0.1572503957809845 14.051305036439064 -1.6540293830710908 "" "" "" "" "" "" Hicken 0
2006gt 0.04364 35.71346432812955 0.11395645570854325 14.074083259813893 -1.6246227806970546 "" "" "" "" "" "" "CSP Old" 0
2017jl 0.01524 33.10825018655333 0.08362803453987196 14.38292 30.185229999999997 14.49 0.05 0.66 0.12 0.003 0.031 Foundation 0
1999ef 0.038 35.44951536782737 0.1472758548085952 14.6925 12.74583 17.092 0.06 0.252 0.205 -0.037000000000000005 0.033 LOSS 0
2016fbo 0.02985 34.744963351961125 0.08362803453987196 15.397920000000001 17.10119 16.05 0.05 0.06 0.13 -0.051 0.032 Foundation 0
2000dr 0.018000000000000002 33.67111277788061 0.13802600265747905 15.4335 -15.56919 15.979 0.031 -2.414 0.122 0.061 0.03 LOSS 0
1998ef 0.01589666666666667 33.13272829513564 0.1641945111165413 15.878728127599008 32.202123287987504 "" "" "" "" "" "" Old 0
2000dk 0.01589666666666667 33.370170002156264 0.145807403901007 16.817509928733188 32.45279388612001 "" "" "" "" "" "" Old 0
2015ar 0.01635 33.314755527973595 0.08996470508483878 16.83491666666667 32.39994444444444 14.77 0.06 -1.96 0.19 -0.092 0.038 Foundation 0
2008fr 0.0397 35.506662482156344 0.04 17.95475 14.640833333333333 "" "" "" "" "" "" CSP-DR3 0
2008gl 0.034 35.166662482156354 0.04 20.228416666666668 4.805305555555555 "" "" "" "" "" "" CSP-DR3 0
2002jy 0.02008333333333333 34.220521153487574 0.11037696239665976 20.267385204896193 40.52239894659957 "" "" "" "" "" "" Hicken 0
1992bo 0.018086666666666668 33.70654604449784 0.12842888343655667 20.533694641370143 -34.24635819921456 "" "" "" "" "" "" Old 0
1999ej 0.015566666666666666 33.44965052009109 0.1591910547307202 20.703738771711272 33.51634749816693 "" "" "" "" "" "" Hicken 0
PS15cku 0.023569999999999997 34.321079783048084 0.07806182268562538 21.09388 3.58756 15.72 0.04 0.64 0.1 0.008 0.028999999999999998 Foundation 0
2001en 0.015566666666666666 33.275211706656016 0.15953282583744144 21.33043809845038 34.046950709319894 "" "" "" "" "" "" Hicken 0
2008gg 0.032 34.97666248215633 0.05 21.346 -17.827555555555556 "" "" "" "" "" "" CSP-DR3 0
2005hj 0.05696 36.270927047310465 0.1272285700256811 21.667800808545884 -1.274707504699906 "" "" "" "" "" "" Hicken 0
1993ae 0.018033333333333332 33.503518585725104 0.20546800687653846 22.448211356250773 -1.9533735209818224 "" "" "" "" "" "" Old 0
